net,wires
"(14,20)","[(13,5,0),(13,4,0),(14,4,0),(15,4,0)]"
"(24,21)","[(1,1,0),(1,2,0),(1,3,0)]"
"(5,1)","[(3,10,0),(2,10,0),(2,11,0),(1,11,0)]"
"(3,6)","[(10,11,0),(11,11,0),(11,10,0),(12,10,0)]"
"(16,11)","[(2,4,0),(3,4,0),(3,5,0),(3,6,0),(3,7,0),(4,7,0)]"
"(19,14)","[(11,4,0),(11,5,0),(11,6,0),(12,6,0),(13,6,0),(13,5,0)]"
"(11,5)","[(4,7,0),(4,8,0),(4,9,0),(4,10,0),(3,10,0)]"
"(23,19)","[(9,2,0),(10,2,0),(11,2,0),(12,2,0),(12,3,0),(12,4,0),(11,4,0)]"
"(17,22)","[(6,4,0),(5,4,0),(4,4,0),(4,3,0),(4,2,0),(3,2,0),(2,2,0)]"
"(14,12)","[(13,5,0),(12,5,0),(12,6,0),(12,7,0),(11,7,0)]"
"(13,14)","[(16,7,0),(15,7,0),(14,7,0),(14,6,0),(14,5,0),(13,5,0)]"
"(16,5)","[(2,4,0),(2,5,0),(2,5,1),(2,6,1),(2,7,1),(2,8,1),(2,9,1),(2,10,1),(3,10,1),(3,10,0)]"
"(23,9)","[(9,2,0),(9,2,1),(8,2,1),(8,3,1),(8,4,1),(8,5,1),(8,6,1),(8,7,1),(8,8,1),(8,8,0),(8,8,0)]"
"(15,7)","[(16,5,0),(16,6,0),(15,6,0),(15,7,0),(15,8,0),(15,9,0),(15,10,0),(14,10,0)]"
"(12,13)","[(11,7,0),(11,8,0),(12,8,0),(12,8,1),(13,8,1),(14,8,1),(15,8,1),(16,8,1),(16,8,0),(16,7,0)]"
"(9,19)","[(8,8,0),(8,7,0),(9,7,0),(9,6,0),(9,5,0),(9,5,1),(10,5,1),(10,4,1),(11,4,1),(11,4,0)]"
"(12,8)","[(11,7,0),(11,6,0),(11,6,1),(10,6,1),(10,7,1),(10,8,1),(10,8,0),(11,8,0),(11,9,0),(12,9,0)]"
"(10,24)","[(1,7,0),(1,6,0),(1,6,1),(1,5,1),(0,5,1),(0,4,1),(0,3,1),(0,2,1),(0,1,1),(0,1,0),(1,1,0)]"
"(18,12)","[(9,4,0),(10,4,0),(10,5,0),(10,6,0),(10,7,0),(11,7,0)]"
"(23,11)","[(9,2,0),(9,3,0),(8,3,0),(7,3,0),(7,3,1),(6,3,1),(5,3,1),(4,3,1),(4,4,1),(4,5,1),(4,6,1),(4,6,0),(4,7,0)]"
"(19,22)","[(11,4,0),(11,3,0),(11,3,1),(11,2,1),(11,1,1),(10,1,1),(9,1,1),(8,1,1),(7,1,1),(6,1,1),(6,2,1),(5,2,1),(4,2,1),(3,2,1),(2,2,1),(2,2,0)]"
"(25,13)","[(12,1,0),(12,1,1),(13,1,1),(14,1,1),(15,1,1),(15,2,1),(14,2,1),(14,2,2),(14,3,2),(14,4,2),(14,4,1),(14,5,1),(14,6,1),(15,6,1),(16,6,1),(16,6,0),(16,7,0)]"
"(1,16)","[(1,11,0),(1,10,0),(1,10,1),(1,9,1),(1,9,2),(1,8,2),(1,7,2),(1,6,2),(1,5,2),(1,4,2),(1,4,1),(2,4,1),(2,4,0)]"
"(2,22)","[(6,11,0),(5,11,0),(5,11,1),(4,11,1),(4,10,1),(4,9,1),(4,8,1),(4,8,2),(4,7,2),(4,6,2),(4,5,2),(4,4,2),(4,3,2),(3,3,2),(2,3,2),(2,3,1),(2,3,0),(2,2,0)]"
"(11,6)","[(4,7,0),(5,7,0),(5,7,1),(6,7,1),(7,7,1),(7,8,1),(7,9,1),(8,9,1),(9,9,1),(10,9,1),(11,9,1),(11,10,1),(11,11,1),(12,11,1),(12,11,0),(12,10,0)]"
"(11,21)","[(4,7,0),(4,7,1),(3,7,1),(3,7,2),(3,6,2),(3,5,2),(3,4,2),(2,4,2),(1,4,2),(0,4,2),(0,4,1),(1,4,1),(1,4,0),(1,3,0)]"
"(12,16)","[(11,7,0),(11,7,1),(11,7,2),(10,7,2),(9,7,2),(8,7,2),(7,7,2),(7,6,2),(7,6,1),(7,5,1),(6,5,1),(5,5,1),(4,5,1),(3,5,1),(2,5,1),(1,5,1),(1,5,0),(1,4,0),(2,4,0)]"
"(2,23)","[(6,11,0),(6,11,1),(7,11,1),(7,11,2),(8,11,2),(8,10,2),(8,9,2),(8,8,2),(8,7,2),(8,6,2),(8,5,2),(8,4,2),(8,3,2),(8,2,2),(8,2,1),(8,2,0),(9,2,0)]"
"(15,6)","[(16,5,0),(15,5,0),(15,5,1),(15,5,2),(14,5,2),(14,6,2),(14,7,2),(14,8,2),(14,9,2),(14,9,1),(13,9,1),(13,10,1),(12,10,1),(12,10,0)]"
"(6,18)","[(12,10,0),(13,10,0),(13,9,0),(13,8,0),(13,7,0),(13,7,1),(13,7,2),(13,8,2),(12,8,2),(11,8,2),(10,8,2),(10,7,2),(10,7,1),(9,7,1),(9,6,1),(9,5,1),(9,4,1),(9,4,0)]"
"(4,1)","[(15,11,0),(15,11,1),(14,11,1),(14,11,2),(14,11,3),(13,11,3),(12,11,3),(11,11,3),(10,11,3),(9,11,3),(8,11,3),(8,10,3),(7,10,3),(7,10,2),(6,10,2),(5,10,2),(4,10,2),(4,11,2),(3,11,2),(2,11,2),(2,11,1),(1,11,1),(1,11,0)]"
"(20,10)","[(15,4,0),(15,5,0),(15,6,0),(15,6,1),(15,6,2),(15,6,3),(14,6,3),(13,6,3),(12,6,3),(11,6,3),(10,6,3),(9,6,3),(8,6,3),(7,6,3),(6,6,3),(5,6,3),(4,6,3),(3,6,3),(2,6,3),(2,6,2),(2,7,2),(2,7,1),(2,7,0),(1,7,0)]"
"(13,21)","[(16,7,0),(16,7,1),(15,7,1),(14,7,1),(13,7,1),(12,7,1),(12,7,2),(12,6,2),(11,6,2),(10,6,2),(9,6,2),(9,5,2),(8,5,2),(7,5,2),(7,4,2),(7,4,1),(6,4,1),(5,4,1),(4,4,1),(3,4,1),(3,3,1),(2,3,1),(1,3,1),(1,3,0)]"
"(15,8)","[(16,5,0),(16,4,0),(16,4,1),(16,5,1),(16,5,2),(16,6,2),(16,7,2),(16,8,2),(16,9,2),(15,9,2),(14,9,2),(13,9,2),(12,9,2),(12,9,1),(12,9,0)]"
"(5,4)","[(3,10,0),(3,11,0),(3,11,1),(3,11,2),(3,10,2),(4,10,2),(4,9,2),(4,9,3),(5,9,3),(6,9,3),(7,9,3),(7,9,2),(8,9,2),(9,9,2),(10,9,2),(10,10,2),(10,11,2),(11,11,2),(12,11,2),(13,11,2),(13,11,1),(13,11,0),(14,11,0),(15,11,0)]"
"(9,24)","[(8,8,0),(7,8,0),(6,8,0),(6,8,1),(6,7,1),(6,6,1),(5,6,1),(5,6,2),(5,5,2),(5,4,2),(5,3,2),(5,2,2),(5,1,2),(4,1,2),(3,1,2),(3,1,1),(2,1,1),(1,1,1),(1,1,0)]"
"(15,2)","[(16,5,0),(16,5,1),(15,5,1),(14,5,1),(14,5,2),(13,5,2),(13,6,2),(13,7,2),(12,7,2),(12,8,2),(12,9,2),(11,9,2),(10,9,2),(10,9,1),(10,10,1),(10,11,1),(9,11,1),(8,11,1),(8,11,0),(7,11,0),(6,11,0)]"
"(16,14)","[(2,4,0),(2,3,0),(3,3,0),(3,3,1),(3,3,2),(3,3,3),(4,3,3),(5,3,3),(6,3,3),(7,3,3),(8,3,3),(9,3,3),(9,3,2),(9,4,2),(10,4,2),(11,4,2),(12,4,2),(13,4,2),(13,4,1),(13,5,1),(13,5,0)]"
"(7,10)","[(14,10,0),(14,10,1),(14,10,2),(13,10,2),(12,10,2),(11,10,2),(10,10,2),(9,10,2),(9,9,2),(9,9,3),(8,9,3),(8,8,3),(7,8,3),(6,8,3),(6,7,3),(5,7,3),(4,7,3),(3,7,3),(2,7,3),(1,7,3),(1,7,2),(1,7,1),(1,7,0)]"
"(20,9)","[(15,4,0),(15,4,1),(14,4,1),(14,3,1),(13,3,1),(12,3,1),(12,4,1),(12,5,1),(12,5,2),(12,5,3),(12,5,4),(12,6,4),(12,7,4),(12,8,4),(12,8,3),(11,8,3),(10,8,3),(10,8,2),(9,8,2),(9,8,1),(9,8,0),(8,8,0)]"
chip_1_net_5,14884
